DHT11	ECG	AirFlow	Snore	SpO2	PulseRate
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
-2.35	4.40	-4.89	-0.58	3.91	-2.10
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
4.80	4.68	-3.89	1.20	-3.40	-2.15
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
-2.82	-1.96	1.34	0.09	3.21	4.49
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
2.41	3.37	-3.67	4.03	-0.08	-2.64
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
-1.29	2.11	-0.26	4.73	0.10	-0.33
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
2.69	2.16	0.83	-3.39	1.92	-2.73
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
